,latitude,longitude,num_ids,num_years
162,38.81,115.413055555556,7,1
163,38.8166666666667,115.433333333333,10,2
164,38.85,115.483333333333,7,1
165,38.9,100.35,10,1
166,38.9007777777778,-76.1394611111111,16,1
167,38.93,-121.84,984,1
168,38.9333333333333,33.5333333333333,154,2
169,39.0189194444444,-76.8236388888889,16,1
170,39.04,-121.84,1312,1
171,39.1186111111111,-96.6181111111111,1243,3
172,39.2202777777778,-96.5781138888889,859,2
173,39.301,-121.926194444444,498,12
174,39.5,32.5,114,2
175,39.5666666666667,116.583333333333,5,1
176,39.7019444444445,116.683888888889,8,1
177,39.8,116.466666666667,30,3
178,39.8333333333333,30.1666666666667,112,2
179,40.0333333333333,67.5666666666667,114,2
180,40.1562222222222,-103.140583333333,24,1
181,40.2166666666667,116.233333333333,8,2
182,40.35,46.9833333333333,118,2
183,40.4166666666667,-3.48333333333333,3,1
184,40.4170305555556,-3.49585277777778,7,1
185,40.5166666666667,48.8833333333333,36,1
186,40.7833333333333,30.4166666666667,40,1
187,41.5,69.5166666666667,158,3
188,41.6666666666667,26.5666666666667,79,2
189,41.8333333333333,-1.0,8,2
190,42.0833333333333,-2.61666666666667,6,1
191,42.4,-85.4,35,1
192,42.4166666666667,12.0666666666667,25,3
193,42.8166666666667,-2.5,10,1
194,42.85,-2.61666666666667,10,1
195,42.96,-112.82,2,1
196,43.0,141.383333333333,8,2
197,43.6333333333333,27.8,118,2
198,44.3124,-96.7985,8,8
199,44.9537,-93.0907,8,8
200,45.0166666666667,38.95,76,1
201,45.3333333333333,19.85,78,1
202,45.5066,-100.032,8,8
203,45.5333333333333,18.7166666666667,114,2
204,45.8237777777778,-72.8403888888889,40,1
205,46.85,40.3,152,2
206,46.9125,-96.6097222222222,14,2
207,47.4501,-99.1262,8,8
208,47.7199527777778,8.90145833333333,16,1
209,47.775,-96.6094,8,8
210,48.0,77.0,50,2
211,48.7163888888889,9.195,8,1
212,48.74,8.92,20,1
213,48.74,9.2,1,1
214,48.7603,-98.3681,8,8
215,49.4121666666667,-112.451719444444,14,2
216,49.5027777777778,-98.0102777777778,12,2
217,49.5569166666667,17.3368333333333,12,2
218,49.7833333333333,9.95,112,1
219,49.7852777777778,-97.3333333333333,12,2
220,49.9325,-99.5214444444444,9,3
221,49.9665,36.41175,40,1
222,49.9833333333333,36.45,78,1
223,49.99375,19.6985,12,2
224,50.0708333333333,19.8479722222222,30,3
225,50.1533333333333,36.9833333333333,40,1
226,51.7752777777778,7.16277777777778,4,1
227,51.8094722222222,-0.373,2195,15
228,51.95,-1.0,136,5
229,51.9513888888889,7.28277777777778,15,2
230,52.7634444444444,9.02341666666667,118,1
231,53.1166666666667,-114.466666666667,15,3
232,53.6958611111111,-113.626,30,2
233,54.3144444444444,9.98444444444444,7,1
234,55.3166666666667,11.3833333333333,4,1
235,55.6686666666667,13.1753055555556,6,3
236,55.6817222222222,13.1740555555556,10,5
237,56.42575,12.9165555555556,4,2
238,56.5,9.56666666666667,4,1
239,57.8914722222222,13.8405,2,1
240,58.3360277777778,12.5706944444444,2,1
241,58.45,25.6,9,2
242,58.8893611111111,11.2996944444444,2,1
243,59.1031666666667,14.1733055555556,8,4
244,59.3,24.65,10,2
245,59.7,17.3194166666667,8,4
246,59.75,17.7,40,1
247,60.7,10.85,5,1
